,Internal Contact ID,Latitude,Longitude,BOROUGH,CUR_UNIT11,DEVELOPMEN,NONRES_BLD,RES_BLDG,TDS_NUM,TOT_POP11
53187,87832,40.8147569,-73.9220382,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53189,87834,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53190,87836,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53191,87837,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53194,87840,40.8147569,-73.9220382,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53195,87841,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53196,87843,40.7942981,-73.9474919,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53197,87846,40.791676,-73.948003,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53202,87857,40.7093271,-73.9454634,BROOKLYN,1628.0,WILLIAMSBURG,1.0,20.0,002,3069.0
53240,87906,40.790734,-73.9510918,MANHATTAN,1246.0,CARVER,0.0,13.0,058,2787.0
53267,87963,40.7124516,-73.9873445,MANHATTAN,1092.0,LA GUARDIA,0.0,9.0,076,2581.0
53278,87995,40.684132,-73.987904,BROOKLYN,1137.0,GOWANUS,1.0,14.0,025,2798.0
53333,88065,40.6821158,-73.9833865,BROOKLYN,527.0,WYCKOFF GARDENS,0.0,3.0,163,1157.0
53357,88092,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53358,88093,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53359,88094,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53360,88095,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53361,88096,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53362,88097,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53363,88098,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53364,88099,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53366,88296,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53397,88328,40.6722164,-73.9096792,BROOKLYN,814.0,HOWARD,0.0,10.0,072,1900.0
53398,88329,40.6668414,-73.9063563,BROOKLYN,1337.0,BROWNSVILLE,0.0,27.0,016,3318.0
53400,88331,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53403,88334,40.6695178,-73.905438,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53406,88337,40.6748113,-73.9236448,BROOKLYN,1157.0,KINGSBOROUGH,0.0,16.0,010,2430.0
53408,88339,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53416,88347,40.6754316,-73.9235914,BROOKLYN,1157.0,KINGSBOROUGH,0.0,16.0,010,2430.0
53429,88360,40.6662598,-73.9096017,BROOKLYN,1337.0,BROWNSVILLE,0.0,27.0,016,3318.0
53430,88361,40.6677375,-73.908828,BROOKLYN,509.0,HUGHES APARTMENTS,1.0,3.0,168,1378.0
53432,88363,40.668685,-73.904196,BROOKLYN,535.0,LOW HOUSES,0.0,4.0,169,1403.0
53451,88443,40.7871488,-73.9435631,MANHATTAN,271.0,METRO NORTH PLAZA,0.0,3.0,181,669.0
53501,88532,40.6834245,-73.9890796,BROOKLYN,1137.0,GOWANUS,1.0,14.0,025,2798.0
53509,88542,40.5912664,-73.7998736,QUEENS,169.0,CARLETON MANOR,0.0,1.0,164,380.0
